"","cancer","MUT_ov_WT","MUT_minus_WT_cohens_d","pvalue","MUT_COUNT","WT_COUNT"
"BLCA","BLCA",NA,NA,NA,NA,NA
"BRCA","BRCA",1.13083079735746,0.116410847345782,0.00246491446165071,460,643
"CHOL","CHOL",NA,NA,NA,NA,NA
"COAD","COAD",NA,NA,NA,NA,NA
"HNSC","HNSC",1.02842688225528,0.0246249712563082,0.320448743731665,318,186
"KICH","KICH",NA,NA,NA,NA,NA
"KIRC","KIRC",NA,NA,NA,NA,NA
"KIRP","KIRP",NA,NA,NA,NA,NA
"LIHC","LIHC",NA,NA,NA,NA,NA
"LUAD","LUAD",NA,NA,NA,NA,NA
"LUSC","LUSC",NA,NA,NA,NA,NA
"PRAD","PRAD",NA,NA,NA,NA,NA
"READ","READ",NA,NA,NA,NA,NA
"THCA","THCA",NA,NA,NA,NA,NA
"UCEC","UCEC",NA,NA,NA,NA,NA
